,network,station,lat,long,f_hvsr,A_hvsr,f_gmsr,A_gmsr,dM,A_site
0,CN,BAIB,52.58,-131.75,0.0,0.0,,,0.0471428571428571,0.0
1,CN,BBB,52.18,-128.11,0.0,0.0,0.0,0.0,0.0747727272727272,0.0
2,CN,BCBC,52.37,-126.76,0.0,0.0,,,,0.0
3,CN,BFSB,48.83,-125.14,0.0,0.0,,,-0.0388888888888888,0.0
4,CN,BMTB,56.05,-122.13,0.1,5.93,,,-0.3003125,6.412
5,CN,BNAB,53.49,-130.64,0.0,0.0,,,-0.2282407407407407,0.0
6,CN,BOIB,49.39,-123.38,0.0,0.0,,,0.0313513513513513,0.0
7,CN,BPEB,50.16,-127.77,2.63,4.73,,,0.434,4.4386
8,CN,BRWY,61.37,-139.03,14.86,4.88,,,0.0989690721649484,0.0
9,CN,BTB,49.47,-125.52,4.05,7.94,,,0.6538888888888889,3.3310000000000004
10,CN,BVCY,62.41,-140.86,0.0,0.0,,,0.1378688524590163,0.0
11,CN,CBB,50.03,-125.37,0.0,0.0,0.0,0.0,-0.1169642857142857,0.0
12,CN,CLRS,48.82,-124.13,0.0,0.0,,,-0.103157894736842,0.0
13,CN,DAWY,64.06,-139.39,0.0,0.0,,,0.1735869565217391,0.0
14,CN,DI2B,53.2,-132.48,0.0,0.0,,,-0.0159999999999999,0.0
15,CN,DIB,53.2,-132.48,0.0,0.0,,,-0.2560204081632653,0.0
16,CN,DLBC,58.44,-130.03,0.0,0.0,,,,0.0
17,CN,FHBB,50.06,-127.11,0.0,0.0,,,-0.0571929824561403,0.0
18,CN,FNSB,58.81,-122.73,6.25,3.98,,,0.0861386138613861,1.6150000000000002
19,CN,FSJB,54.46,-124.29,0.0,0.0,,,-0.1703214285714285,0.0
20,CN,GDR,49.78,-126.06,0.0,0.0,,,0.0630508474576271,0.0
21,CN,GHNB,49.31,-124.24,0.1,5.62,,,0.1116279069767442,6.412
22,CN,GOBB,48.95,-123.51,0.0,0.0,,,0.047037037037037,0.0
23,CN,HG1B,52.93,-132.13,4.05,5.96,,,0.1157236842105263,3.3310000000000004
24,CN,HG3B,52.58,-131.44,0.06,14.13,,,,6.4432
25,CN,HNBB,49.29,-122.57,0.0,0.0,,,,0.0
26,CN,HNYB,49.31,-122.58,0.0,0.0,,,-0.0232258064516128,0.0
27,CN,HOLB,50.64,-128.13,0.0,0.0,,,0.1706349206349206,0.0
28,CN,HOPB,49.39,-121.42,0.0,0.0,0.0,0.0,0.0168571428571428,0.0
29,CN,HYT,60.83,-137.51,0.0,0.0,,,-0.1432258064516128,0.0
30,CN,INK,68.31,-133.53,0.0,0.0,,,,0.0
31,CN,JEDB,52.29,-131.2,0.0,0.0,,,-0.0277142857142857,0.0
32,CN,MASB,54.02,-132.02,0.0,0.0,,,,0.0
33,CN,MAYB,50.4,-127.17,0.0,0.0,,,,0.0
34,CN,MGMB,50.63,-123.41,1.01,11.22,,,,5.7022
35,CN,MOBC,53.14,-131.97,0.0,0.0,,,0.0770588235294117,0.0
36,CN,NCSB,50.4,-126.06,0.0,0.0,,,-0.0171874999999999,0.0
37,CN,NDB,53.95,-132.94,0.0,0.0,,,0.1531914893617021,0.0
38,CN,NLLB,49.23,-123.99,0.0,0.0,,,-0.0259574468085105,0.0
39,CN,NTKA,49.59,-126.62,0.0,0.0,,,-0.1146153846153845,0.0
40,CN,OZB,48.96,-125.5,0.0,0.0,,,0.2004999999999999,0.0
41,CN,PABB,49.22,-124.81,0.0,0.0,,,-0.0993749999999999,0.0
42,CN,PACB,50.44,-127.49,0.0,0.0,,,-0.0388372093023255,0.0
43,CN,PCLB,53.72,-132.52,0.0,0.0,,,0.1441237113402061,0.0
44,CN,PGC,48.65,-123.45,0.0,0.0,0.0,0.0,-0.0103225806451612,0.0
45,CN,PLBC,59.46,-136.37,0.0,0.0,,,-0.3140888888888889,0.0
46,CN,PTRF,48.54,-124.41,0.0,0.0,,,-0.0830555555555555,0.0
47,CN,QEPB,49.24,-123.11,0.0,0.0,,,-0.098695652173913,0.0
48,CN,RUBB,54.33,-130.25,0.0,0.0,,,-0.0658078602620087,0.0
49,CN,SHPB,49.35,-126.26,0.0,0.0,,,-0.0896153846153845,0.0
50,CN,SNB,48.78,-123.17,0.0,0.0,0.0,0.0,,0.0
51,CN,SYMB,48.56,-123.8,0.0,0.0,,,-0.0228260869565217,0.0
52,CN,TAHB,49.89,-126.68,0.0,0.0,,,0.0842465753424657,0.0
53,CN,TOFB,49.15,-125.91,0.0,0.0,,,0.0741379310344828,0.0
54,CN,TXDB,49.7,-124.44,0.0,0.0,,,-0.076551724137931,0.0
55,CN,VGZ,48.41,-123.33,0.0,0.0,0.0,0.0,-0.1123529411764706,0.0
56,CN,WALA,49.06,-113.91,0.0,0.0,0.83,8.96,,0.0
57,CN,WHY,60.66,-134.88,0.0,0.0,,,-0.0153663793103448,0.0
58,CN,WOSB,50.16,-126.57,0.0,0.0,,,0.2386746987951807,0.0
59,CN,WPB,49.65,-123.21,0.0,0.0,,,0.1502857142857143,0.0
60,CN,WSLR,50.13,-122.92,0.0,0.0,,,-0.1888607594936708,0.0
61,CN,YUK6,60.94,-138.36,0.0,0.0,,,-0.0832826747720364,0.0
62,PO,ALRB,52.51,-125.08,5.26,5.62,,,,2.3872
63,PO,ANMB,49.32,-122.86,2.63,8.91,,,,4.4386
64,PO,CLSB,52.76,-122.56,0.51,6.31,,,,6.0922
65,PO,CLVB,49.38,-123.14,0.0,0.0,,,,0.0
66,PO,COQB,49.35,-122.77,0.0,0.0,,,,0.0
67,PO,ENGB,49.01,-123.09,0.33,3.98,,,,6.232600000000001
68,PO,FLLB,51.74,-123.11,0.0,0.0,,,,0.0
69,PO,GOWB,48.74,-123.18,0.0,0.0,,,,0.0
70,PO,HBDB,49.17,-122.21,1.43,7.08,,,,5.3746
71,PO,HLSB,49.28,-121.72,0.0,0.0,,,,0.0
72,PO,HRMB,49.24,-121.94,0.46,7.08,,,,6.1312
73,PO,KELB,48.66,-123.57,19.28,14.23,,,,0.0
74,PO,KLNB,48.66,-123.57,0.0,0.0,,,,0.0
75,PO,PIMB,49.27,-122.67,0.0,0.0,,,,0.0
76,PO,PRDA,50.87,-114.29,0.0,0.0,,,,0.0
77,PO,RAMB,52.63,-123.12,0.0,0.0,,,,0.0
78,PO,SILB,48.6,-123.28,0.0,0.0,,,,0.0
79,PO,SSIB,48.76,-123.39,32.42,11.22,,,,0.0
80,PO,SULB,53.28,-124.36,0.0,0.0,,,,0.0
81,PO,TALB,52.01,-124.25,0.33,6.68,,,,6.232600000000001
82,PO,THMB,52.55,-124.13,2.03,5.62,,,,4.9066
83,PO,TSJB,48.6,-123.99,29.73,3.76,,,,0.0
84,PO,TWGB,48.61,-124.26,0.0,0.0,0.0,0.0,,0.0
85,PO,TWKB,48.64,-123.73,22.92,5.01,0.0,0.0,,0.0
86,QW,BCC01,52.18,-128.11,0.0,0.0,,,,0.0
87,QW,BCC04,54.33,-130.28,16.21,3.51,,,,0.0
88,QW,BCH03,53.69,-132.18,0.51,4.73,,,,6.0922
89,QW,BCH04,53.2,-132.48,0.0,0.0,,,,0.0
90,QW,BCH05,52.93,-132.13,4.05,7.94,,,,3.3310000000000004
91,QW,BCH06,52.58,-131.75,0.0,0.0,,,,0.0
92,QW,BCH09,53.25,-132.0,0.0,0.0,,,,0.0
93,QW,BCH10,53.24,-131.86,0.0,0.0,,,,0.0
94,QW,BCH11,53.14,-131.97,0.0,0.0,,,,0.0
95,QW,BCH12,52.22,-131.22,6.82,14.96,,,,1.1703999999999999
96,QW,BCH15,54.0,-132.65,0.0,0.0,,,,0.0
97,QW,BCH17,53.72,-132.52,0.0,0.0,,,,0.0
98,QW,BCH18,52.58,-131.44,0.0,0.0,,,,0.0
99,QW,BCH21,53.55,-132.35,0.0,0.0,,,,0.0
100,QW,BCH25,53.42,-131.92,0.0,0.0,,,,0.0
101,QW,BCH26,52.8,-132.0,0.0,0.0,,,,0.0
102,QW,BCL01,49.84,-124.53,0.78,4.47,,,,5.881600000000001
103,QW,BCL02,49.36,-123.09,4.42,4.47,,,,3.0424
104,QW,BCL03,49.24,-123.11,0.0,0.0,,,,0.0
105,QW,BCL04,49.26,-123.24,0.0,0.0,,,,0.0
106,QW,BCL05,49.39,-121.42,0.0,0.0,,,,0.0
107,QW,BCL06,49.75,-124.01,0.0,0.0,,,,0.0
108,QW,BCL07,49.1,-121.98,0.0,0.0,,,,0.0
109,QW,BCL08,49.39,-123.38,0.0,0.0,,,,0.0
110,QW,BCL09,49.24,-121.76,0.46,3.76,,,,6.1312
111,QW,BCL10,49.27,-123.14,0.0,0.0,,,,0.0
112,QW,BCL11,49.0,-122.48,0.0,0.0,,,,0.0
113,QW,BCL13,49.12,-122.82,0.0,0.0,,,,0.0
114,QW,BCL15,49.17,-122.58,0.43,7.08,,,,6.1546
115,QW,BCL16,49.47,-123.91,0.0,0.0,,,,0.0
116,QW,BCL17,49.29,-122.79,0.0,0.0,,,,0.0
117,QW,BCL19,49.0,-123.07,0.0,0.0,,,,0.0
118,QW,BCL20,49.69,-123.14,0.0,0.0,,,,0.0
119,QW,BCL21,50.13,-122.95,1.86,6.68,,,,5.0392
120,QW,BCL22,49.27,-122.94,0.0,0.0,,,,0.0
121,QW,BCL23,49.0,-122.27,0.0,0.0,,,,0.0
122,QW,BCL25,49.37,-123.27,4.05,5.01,,,,3.3310000000000004
123,QW,BCL26,49.18,-123.11,1.01,4.22,,,,5.7022
124,QW,BCL27,49.17,-121.95,0.36,7.08,,,,6.2092
125,QW,BCV03,49.87,-127.12,0.0,0.0,,,,0.0
126,QW,BCV05,49.15,-125.91,0.0,0.0,,,,0.0
127,QW,BCV06,48.92,-125.54,0.0,0.0,,,,0.0
128,QW,BCV09,49.78,-126.06,11.46,3.76,,,,0.0
129,QW,BCV11,49.26,-124.86,0.0,0.0,,,,0.0
130,QW,BCV13,50.71,-127.43,0.0,0.0,,,,0.0
131,QW,BCV14,50.64,-128.13,17.68,3.98,,,,0.0
132,QW,BCV16,49.74,-125.3,0.0,0.0,,,,0.0
133,QW,BCV17,50.44,-127.49,0.0,0.0,,,,0.0
134,QW,BCV19,48.83,-125.14,0.0,0.0,,,,0.0
135,QW,BCV21,48.43,-123.42,0.0,0.0,,,,0.0
136,QW,BCV22,48.39,-123.49,0.0,0.0,,,,0.0
137,QW,BCV23,48.65,-123.45,0.0,0.0,,,,0.0
138,QW,BCV24,48.82,-124.13,0.0,0.0,,,,0.0
139,QW,BCV25,48.82,-123.72,9.64,3.76,,,,-1.0292000000000003
140,QW,BCV27,48.47,-123.51,0.0,0.0,,,,0.0
141,QW,BCV28,48.34,-123.53,0.0,0.0,,,,0.0
142,QW,BCV30,49.15,-123.7,0.0,0.0,,,,0.0
143,QW,BCV31,48.95,-123.51,0.0,0.0,,,,0.0
144,QW,BCV32,48.79,-123.18,0.0,0.0,,,,0.0
145,QW,BCV33,48.39,-123.9,25.0,6.31,,,,0.0
146,QW,BCV34,48.54,-124.41,19.28,4.01,,,,0.0
147,QW,BCV36,48.56,-123.8,10.51,3.76,,,,0.0
148,QW,BCV37,48.36,-123.67,19.28,3.38,,,,0.0
149,QW,BCV38,49.71,-124.91,1.43,4.73,,,,5.3746
150,QW,BCV39,50.13,-125.33,0.0,0.0,,,,0.0
151,QW,BCV40,50.54,-126.83,0.0,0.0,,,,0.0
152,QW,BCV41,50.03,-125.37,0.0,0.0,,,,0.0
153,QX,CFNB1,54.34,-130.44,8.11,6.68,,,,0.16420000000000012
154,QX,CFNB3,53.43,-129.25,8.11,5.31,,,,0.16420000000000012
155,QX,CFNB5,52.37,-126.75,0.0,0.0,,,,0.0
156,QX,CFNB8,51.65,-128.13,1.31,15.85,,,,5.4682
157,QX,MTB07,49.1,-122.66,1.01,7.5,,,,5.7022
158,QX,MTB38,49.01,-123.13,0.33,4.22,,,,6.232600000000001
159,QX,SDB01,51.6,-127.86,0.0,0.0,,,,0.0
160,QX,SDB02,52.64,-128.52,0.0,0.0,,,,0.0
161,QX,SDB03,53.49,-130.64,0.0,0.0,,,,0.0
162,QX,SDB05,50.33,-125.44,0.0,0.0,,,,0.0
163,QX,SDB06,52.19,-128.11,0.0,0.0,,,,0.0
